Date,GEOID,New Cases,County
03-06-2020,49001,1,Davis
03-10-2020,49043,1,Summit
03-11-2020,49057,1,Weber
03-12-2020,49035,2,Salt Lake
03-13-2020,49035,1,Salt Lake
03-14-2020,49001,1,Davis
03-14-2020,49035,11,Salt Lake
03-14-2020,49043,1,Summit
03-15-2020,49001,1,Davis
03-15-2020,49053,1,Washington
03-17-2020,49003,1,Box Elder
03-17-2020,49001,1,Davis
03-17-2020,49035,6,Salt Lake
03-17-2020,49043,6,Summit
03-17-2020,49045,1,Tooele
03-17-2020,49051,2,Wasatch
03-17-2020,49057,3,Weber
03-18-2020,49001,2,Davis
03-18-2020,49035,2,Salt Lake
03-18-2020,49043,7,Summit
03-18-2020,49049,1,Utah
03-20-2020,49005,2,Cache
03-20-2020,49001,6,Davis
03-20-2020,49035,22,Salt Lake
03-20-2020,49043,13,Summit
03-20-2020,49045,1,Tooele
03-20-2020,49049,1,Utah
03-20-2020,49051,2,Wasatch
03-20-2020,49057,2,Weber
