id,geoid,pop2010,stateUSPS
0,49001.0,6629.0,UT
1,49003.0,49975.0,UT
2,49005.0,112656.0,UT
3,49007.0,21403.0,UT
4,49009.0,1059.0,UT
5,49011.0,306479.0,UT
6,49013.0,18607.0,UT
7,49015.0,10976.0,UT
8,49017.0,5172.0,UT
9,49019.0,9225.0,UT
10,49021.0,46163.0,UT
11,49023.0,10246.0,UT
12,49025.0,7125.0,UT
13,49027.0,12503.0,UT
14,49029.0,9469.0,UT
15,49031.0,1556.0,UT
16,49033.0,2264.0,UT
17,49035.0,1029655.0,UT
18,49037.0,14746.0,UT
19,49039.0,27822.0,UT
20,49041.0,20802.0,UT
21,49043.0,36324.0,UT
22,49045.0,58218.0,UT
23,49047.0,32588.0,UT
24,49049.0,516564.0,UT
25,49051.0,23530.0,UT
26,49053.0,138115.0,UT
27,49055.0,2778.0,UT
28,49057.0,231236.0,UT
